candidate_id,K,template_family,offsets_log10_tau,span,shift,time_window_anchor,candidate_hash
K08_cc_span8.0_shift+0.0_dens1.00,8,cole_cole_tau_centered,-4.000000000000;-2.857142857143;-1.714285714286;-0.571428571429;0.571428571429;1.714285714286;2.857142857143;4.000000000000,8.000000,0.000000,3.162277660168e-03,6c3c889e782afa9fcdf65f5d9f6c6e46f91fc1542e6f6f2f120b8588e41626ff
K08_cc_span8.0_shift+0.0_dens1.25,8,cole_cole_tau_centered,-4.000000000000;-2.626636329214;-1.387040076978;-0.351307515972;0.351307515972;1.387040076978;2.626636329214;4.000000000000,8.000000,0.000000,3.162277660168e-03,a0938ad65781c3f52abb434fc936a20ab6fed3cad5b8995526a5591340efc7a6
K08_cc_span8.0_shift+0.5_dens1.00,8,cole_cole_tau_centered,-4.000000000000;-2.857142857143;-1.714285714286;-0.571428571429;0.571428571429;1.714285714286;2.857142857143;4.000000000000,8.000000,0.500000,3.162277660168e-03,7f018c6bc0a067700ef7714236fe3f97839b596c79389c865387a811999c1560
K08_cc_span8.0_shift+0.5_dens1.25,8,cole_cole_tau_centered,-4.000000000000;-2.626636329214;-1.387040076978;-0.351307515972;0.351307515972;1.387040076978;2.626636329214;4.000000000000,8.000000,0.500000,3.162277660168e-03,bdbf2782cd86c1abf396349cbc548241bb058746cf977ca34075753509634f0d
K08_tw_span4.0_shift-0.5_dens1.00,8,time_window_centered,-2.000000000000;-1.428571428571;-0.857142857143;-0.285714285714;0.285714285714;0.857142857143;1.428571428571;2.000000000000,4.000000,-0.500000,3.162277660168e-04,e1933e8cb8f934c103ab4ed25afb94855bfe63d6965700d68a6d8b2785ea3fca
K08_tw_span4.0_shift-0.5_dens1.25,8,time_window_centered,-2.000000000000;-1.313318164607;-0.693520038489;-0.175653757986;0.175653757986;0.693520038489;1.313318164607;2.000000000000,4.000000,-0.500000,3.162277660168e-04,d5cad1aa5a4edb0f169773258a9a51ad68ff15bc70d9cd9fd4e37a386ef8607b
K08_tw_span4.0_shift+0.0_dens1.00,8,time_window_centered,-2.000000000000;-1.428571428571;-0.857142857143;-0.285714285714;0.285714285714;0.857142857143;1.428571428571;2.000000000000,4.000000,0.000000,3.162277660168e-04,357314f478ce01677804138c4bb4412c558719eb585a606ad755c6a6c6f1b283
K08_tw_span4.0_shift+0.0_dens1.25,8,time_window_centered,-2.000000000000;-1.313318164607;-0.693520038489;-0.175653757986;0.175653757986;0.693520038489;1.313318164607;2.000000000000,4.000000,0.000000,3.162277660168e-04,00fd64ba89a83cccbd9fc179116bdf63a2c2d79f7f5c46f2b61ea46f8bc29c4b
K08_tw_span4.0_shift+0.5_dens1.00,8,time_window_centered,-2.000000000000;-1.428571428571;-0.857142857143;-0.285714285714;0.285714285714;0.857142857143;1.428571428571;2.000000000000,4.000000,0.500000,3.162277660168e-04,d92b7fc38aad838445b1f071139ae5b6d5db93b7b099e68014e636ceb7a78169
K08_tw_span4.0_shift+0.5_dens1.25,8,time_window_centered,-2.000000000000;-1.313318164607;-0.693520038489;-0.175653757986;0.175653757986;0.693520038489;1.313318164607;2.000000000000,4.000000,0.500000,3.162277660168e-04,adc8db5d1b7e1135a0d99a6bc79ce327923e0a053952a26b6e6de11e76afaef6
K08_tw_span6.0_shift-0.5_dens1.00,8,time_window_centered,-3.000000000000;-2.142857142857;-1.285714285714;-0.428571428571;0.428571428571;1.285714285714;2.142857142857;3.000000000000,6.000000,-0.500000,3.162277660168e-04,682d18ece9ea1cb867736e45844dafa1f76c1d491aa2a766d78c980a5705e7ae
