time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
0.18367099231598238,point,0.0,3.1716518820252096e-07,-5.6834483214701835e-09,nan,4.0353928839719906e-12,1,32,32,32.0
0.18367099231598238,disk_average,2.0,3.183575745385804e-07,-4.962375627221959e-09,-2.9871256409119383e-07,4.016890479590346e-12,5,4,32,9.6
0.22958874039497798,point,0.0,2.2323994621586158e-07,-3.6589589786624257e-09,nan,2.325314179586328e-12,1,32,32,32.0
0.22958874039497798,disk_average,2.0,2.242236302221308e-07,-3.045885413131152e-09,-2.1366406221817214e-07,2.315000757030777e-12,5,4,32,9.6
0.2869859254937225,point,0.0,1.5636377974801414e-07,-2.46596562200726e-09,nan,1.3250845839600061e-12,1,32,32,32.0
0.2869859254937225,disk_average,2.0,1.5734096113400545e-07,-1.862229156308603e-09,-1.5252888998704505e-07,1.319386370727255e-12,5,4,32,9.6
0.35873240686715313,point,0.0,1.08899383195666e-07,-1.7499875456492073e-09,nan,7.544826087523184e-13,1,32,32,32.0
0.35873240686715313,disk_average,2.0,1.0987253422439949e-07,-1.1519025637289608e-09,-1.0865919048885339e-07,7.513605975779495e-13,5,4,32,9.6
0.4484155085839414,point,0.0,7.522770848938977e-08,-1.3349532860305013e-09,nan,4.322155022876782e-13,1,32,32,32.0
0.4484155085839414,disk_average,2.0,7.619842397809899e-08,-7.402272771016486e-10,-7.706805408304533e-08,4.305021547869549e-13,5,4,32,9.6
0.5605193857299268,point,0.0,5.136251541267826e-08,-1.1014591854272696e-09,nan,2.4921730864687884e-13,1,32,32,32.0
0.5605193857299268,disk_average,2.0,5.233177589529419e-08,-5.087073999581647e-10,-5.424355784833848e-08,2.4826448066919704e-13,5,4,32,9.6
0.7006492321624085,point,0.0,3.448118733463792e-08,-9.725615746002893e-10,nan,1.4403211766702593e-13,1,32,32,32.0
0.7006492321624085,disk_average,2.0,3.544944230030215e-08,-3.8103750893423473e-10,-3.776191673060966e-08,1.4351282441650256e-13,5,4,32,9.6
0.8758115402030107,point,0.0,2.2584379169156305e-08,-9.016044087154118e-10,nan,8.303811971735411e-14,1,32,32,32.0
0.8758115402030107,disk_average,2.0,2.3551954828134276e-08,-3.108239133841255e-10,-2.5920494392556263e-08,8.274605734228958e-14,5,4,32,9.6
1.0,point,0.0,1.6788748125678866e-08,-8.719498321116072e-10,nan,5.718165718253594e-14,1,32,32,32.0
1.0,disk_average,2.0,1.775601753765209e-08,-2.8151708430539976e-10,-2.0103580162363813e-08,5.697802812261718e-14,5,4,32,9.6
