K,candidate_id,case_id,dbdt_p95,h_p95,ip_increment_nrmse,passed,peak_time_error_steps_max,receiver_id,receiver_index,total_p95,unexplained_sign_flips,waveform_id
4,K04_cc_span8.0_shift-0.5_dens1.00,PG01,0.022839266469523188,0.023840088776890617,0.08893950215003558,False,0.0,point,1,0.02197141787966698,0,W2
4,K04_cc_span8.0_shift-0.5_dens1.25,PG01,0.13169068304891945,0.053063959886127235,0.08854827300326347,False,0.08853767324754126,point,0,0.036834547560324164,0,W0
4,K04_cc_span8.0_shift-0.5_dens1.25,PG01,0.020362987232838574,0.019299721534006255,0.09007273202625359,False,0.0,point,1,0.01568818198735011,0,W0
4,K04_cc_span8.0_shift-0.5_dens1.25,PG01,0.12014331893985791,0.05408138045798784,0.0919701260678874,False,0.0,point,0,0.03571293895659283,0,W1
4,K04_cc_span8.0_shift-0.5_dens1.25,PG01,0.018653083654419974,0.01930048636821318,0.0914228530360823,False,0.0,point,1,0.015552378839636503,0,W1
4,K04_cc_span8.0_shift-0.5_dens1.25,PG01,0.15440890205958432,0.05672210685672167,0.11439809398379903,False,0.0,point,0,0.043912264602940614,0,W2
4,K04_cc_span8.0_shift-0.5_dens1.25,PG01,0.021446490705608483,0.01930257367094753,0.11552039572443278,False,0.0,point,1,0.015021494613272618,0,W2
4,K04_cc_span8.0_shift+0.0_dens1.00,PG01,0.05730072414010853,0.054179976483947526,0.11551695049799658,False,0.0,point,0,0.04069604330042977,0,W0
4,K04_cc_span8.0_shift+0.0_dens1.00,PG01,0.017129331221072165,0.030415935329075362,0.11683022765433237,False,0.0,point,1,0.02107216722575097,0,W0
4,K04_cc_span8.0_shift+0.0_dens1.00,PG01,0.07992452132222694,0.05423120727758637,0.14552804774186173,False,0.0,point,0,0.041420921920336924,0,W1
4,K04_cc_span8.0_shift+0.0_dens1.00,PG01,0.01709096757955515,0.030425600488510958,0.14139292366812212,False,0.0,point,1,0.021066023940187712,0,W1
4,K04_cc_span8.0_shift+0.0_dens1.00,PG01,0.07680915586931904,0.05421795817104411,0.1729340380194793,False,0.0,point,0,0.045380182621652256,0,W2
4,K04_cc_span8.0_shift+0.0_dens1.00,PG01,0.020132085547084035,0.030454391560789155,0.18587869563824513,False,0.0,point,1,0.0223902888463419,0,W2
4,K04_cc_span8.0_shift+0.0_dens1.25,PG01,0.09048457431260246,0.06482639677322803,0.15968367088477128,False,0.08853767324754126,point,0,0.03842111677325348,0,W0
4,K04_cc_span8.0_shift+0.0_dens1.25,PG01,0.023793519589102953,0.02334621405038686,0.16107225416894713,False,0.0,point,1,0.02274291859352764,0,W0
4,K04_cc_span8.0_shift+0.0_dens1.25,PG01,0.1192582229071566,0.04952542917175842,0.20045197588766253,False,0.0,point,0,0.0337191457431914,0,W1
4,K04_cc_span8.0_shift+0.0_dens1.25,PG01,0.024102444175222365,0.02335539611283549,0.19419184521129543,False,0.0,point,1,0.022646372264559282,0,W1
4,K04_cc_span8.0_shift+0.0_dens1.25,PG01,0.11502910695814542,0.05173438566769222,0.239280424400252,False,0.0,point,0,0.042107368067961094,0,W2
4,K04_cc_span8.0_shift+0.0_dens1.25,PG01,0.023705454985534287,0.023382872956137953,0.2583628341512536,False,0.0,point,1,0.02286742347290918,0,W2
4,K04_cc_span8.0_shift+0.5_dens1.00,PG01,0.05163849200994382,0.08189883233186601,0.09762318330976409,False,0.0,point,0,0.03245801498459575,0,W0
4,K04_cc_span8.0_shift+0.5_dens1.00,PG01,0.03795490283355991,0.018460868740211803,0.0991571321869544,False,0.0,point,1,0.018158800003856078,0,W0
4,K04_cc_span8.0_shift+0.5_dens1.00,PG01,0.04224015290317079,0.06036143024997742,0.14022347603187163,False,0.0,point,0,0.030498152276057074,0,W1
4,K04_cc_span8.0_shift+0.5_dens1.00,PG01,0.03853160087490501,0.018473369258713984,0.1369794869934326,False,0.0,point,1,0.017995540390172787,0,W1
4,K04_cc_span8.0_shift+0.5_dens1.00,PG01,0.05952967233399585,0.06364407413365339,0.24937976970880238,False,0.0,point,0,0.03082552199885719,0,W2
4,K04_cc_span8.0_shift+0.5_dens1.00,PG01,0.05450806725117536,0.01851081853180132,0.26740375711247266,False,0.0,point,1,0.01832885210818375,0,W2
4,K04_cc_span8.0_shift+0.5_dens1.25,PG01,0.04482726402564684,0.11311824723746389,0.130759518169147,False,0.0,point,0,0.0415331842091689,0,W0
4,K04_cc_span8.0_shift+0.5_dens1.25,PG01,0.050029866129703705,0.018147801748435628,0.1320029925026682,False,0.0,point,1,0.022187138009753304,0,W0
