K,candidate_id,case_id,condition_number,dbdt_p95,group_p95_W0,group_p95_W1,group_p95_W2,group_p95_W3,group_p95_disk_1.0,group_p95_disk_4.0,group_p95_point,h_p95,ip_p95,n_tasks,qualifies,scope,spectral_error,spectral_error_s0,spectral_error_s1,split,total_p95,valid
4,K04_cc_span6.0_shift+0.5_dens1.00,TR01,7.24635154576138,0.30204223836180866,0.23497022529051922,0.23520618889787523,0.2358169583004687,nan,nan,nan,0.23713998901787242,0.4558596648384611,0.09595912162934815,6,False,point,0.03332363717631452,0.036248680810404374,0.03332363717631452,train,0.23713998901787242,True
4,K04_cc_span6.0_shift+0.5_dens1.25,TR01,7.153914456997204,0.10526533737643945,0.08747990714237991,0.08769055250297834,0.09864981951513088,nan,nan,nan,0.09644491102716149,0.23147942541387212,0.04262121615943564,6,False,point,0.01932156271454885,0.017299355566554132,0.01932156271454885,train,0.09644491102716149,True
4,K04_cc_span8.0_shift-0.5_dens1.00,TR01,7.808443770359688,0.46694757905041107,0.4440169807937237,0.44397079475242757,0.4632932984240173,nan,nan,nan,0.4605588034376341,1.2382064240764046,0.29669161825762985,6,False,point,0.12410125469047939,0.11388120082135125,0.12410125469047939,train,0.4605588034376341,True
4,K04_cc_span8.0_shift-0.5_dens1.25,TR01,7.756313506127207,0.4914733887593564,0.36400380787989245,0.36459805135542356,0.36699290432280857,nan,nan,nan,0.36897458588651744,0.9749548053551294,0.22271645544994842,6,False,point,0.09133638773429024,0.07896359412554264,0.09133638773429024,train,0.36897458588651744,True
4,K04_cc_span8.0_shift+0.0_dens1.00,TR01,17.7193074122154,0.7544052855581185,0.5691541698113896,0.5953580605491348,0.6554606863065104,nan,nan,nan,0.6509621971110254,1.2974456340318175,0.34432059326445796,6,False,point,0.11433023490473589,0.11388374567337009,0.11433023490473589,train,0.6509621971110254,True
4,K04_cc_span8.0_shift+0.0_dens1.25,TR01,17.636247398160126,0.4528867193710806,0.41686369544939467,0.422107557715376,0.4640934935870527,nan,nan,nan,0.45875590838915814,1.103412253318106,0.2424860480765783,6,False,point,0.08387805785292714,0.07875910405360445,0.08387805785292714,train,0.45875590838915814,True
4,K04_cc_span8.0_shift+0.5_dens1.00,TR01,50.98106991051094,0.5137258013950708,0.3951340924838887,0.39481988733055384,0.3937715582859398,nan,nan,nan,0.39740966544149037,1.1137352840508434,0.2642872435077809,6,False,point,0.07434181587654994,0.07932549893370498,0.07434181587654994,train,0.39740966544149037,True
4,K04_cc_span8.0_shift+0.5_dens1.25,TR01,50.607467795577975,0.3118463686870094,0.24744393322145955,0.24819185155401988,0.2504551166455742,nan,nan,nan,0.2519905162378239,0.48561870713005617,0.10184397759032637,6,False,point,0.034926314110647436,0.03788644823072376,0.034926314110647436,train,0.2519905162378239,True
4,K04_tw_span4.0_shift-0.5_dens1.00,TR01,13.372484146465258,0.31051225209558386,0.23204216781268883,0.23294394228110848,0.2472230953317628,nan,nan,nan,0.24552317804299761,0.7166818339727721,0.11912767693174987,6,False,point,0.04768534849802429,0.04051263093889982,0.04768534849802429,train,0.24552317804299761,True
4,K04_tw_span4.0_shift-0.5_dens1.25,TR01,12.108900433499116,0.34615300911434055,0.272607648170734,0.2785815906408253,0.29477639029421204,nan,nan,nan,0.29319354791608054,0.7598876441821908,0.14834610970581627,6,False,point,0.05900578527956757,0.050111884131433894,0.05900578527956757,train,0.29319354791608054,True
4,K04_tw_span4.0_shift+0.0_dens1.00,TR01,8.559612101985275,0.17912818515047105,0.14269869398637985,0.1427382145583658,0.14280686467502807,nan,nan,nan,0.14359075979476246,0.29885474825426206,0.04541834589040877,6,False,point,0.020899539097887096,0.020142869709294797,0.020899539097887096,train,0.14359075979476246,True
4,K04_tw_span4.0_shift+0.0_dens1.25,TR01,8.942127361625193,0.2941405622216645,0.24678579850203206,0.24674731495817187,0.24658826255239508,nan,nan,nan,0.24793680187133182,0.6250967400327121,0.09510920610419346,6,False,point,0.03790926616487555,0.035524116030241436,0.03790926616487555,train,0.24793680187133182,True
4,K04_tw_span4.0_shift+0.5_dens1.00,TR01,7.198653105655832,0.2670288727569989,0.2418806161837654,0.2422258632365562,0.24327014977331074,nan,nan,nan,0.24529407145400223,0.3486586066852118,0.08172341484610182,6,False,point,0.033475353082620854,0.028043856370306396,0.033475353082620854,train,0.24529407145400223,True
