split,case_id,case_hash,K,candidate_id,receiver_scope,official_variant,valid,n_tasks,total_p95,ip_increment_nrmse_p95,fail_rate,qualifies_point,spectral_error,spectral_error_s0,spectral_error_s1,condition_number,relative_dc_error,optimizer_success
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span8.0_shift-0.5_dens1.00,point,S1,True,6,0.3221430865105186,0.15414196575477138,1.0,False,0.05755282383199668,0.052100146677054246,0.05755282383199668,1053.9258814604252,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span8.0_shift-0.5_dens1.25,point,S1,True,6,0.31774156392289576,0.16811710720717823,1.0,False,0.06579291251372534,0.05666702768128306,0.06579291251372534,411.16126008528073,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span4.0_shift+0.0_dens1.00,point,S1,True,6,0.006390208124169252,0.001322064763984148,0.0,True,0.0008605381651084745,0.0008579706194868336,0.0008605381651084745,47.720733267669225,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span4.0_shift+0.0_dens1.25,point,S1,True,6,0.006677550266280202,0.0016404279124153454,0.0,True,0.0009591936301802987,0.0008776695008033833,0.0009591936301802987,77.84880613842053,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span4.0_shift+0.5_dens1.00,point,S1,True,6,0.010626300493401061,0.004990706792240575,0.5,False,0.001944910310833968,0.0016917407353409,0.001944910310833968,44.07263556019276,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span4.0_shift+0.5_dens1.25,point,S1,True,6,0.013817696041711118,0.0061283242342058345,1.0,False,0.002557316697454509,0.002135584778287375,0.002557316697454509,71.84068953628213,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span4.0_shift-0.5_dens1.00,point,S1,True,6,0.007775890877606191,0.0017446316718731005,0.0,True,0.0009269559871325038,0.0009279783029096716,0.0009269559871325038,51.95295522336723,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span4.0_shift-0.5_dens1.25,point,S1,True,6,0.0057383502982049,0.0014241364826521742,0.0,True,0.0008719555457483435,0.0009225879965463318,0.0008719555457483435,83.93860543589268,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span6.0_shift+0.0_dens1.00,point,S1,True,6,0.05846331745380599,0.0157518628730156,1.0,False,0.008228657682077837,0.0074248614298169655,0.008228657682077837,20.24858691223233,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,8,K08_cc_span6.0_shift+0.0_dens1.25,point,S1,True,6,0.026701278948652936,0.006627245373379571,1.0,False,0.002944519409770384,0.0025299817417852935,0.002944519409770384,27.004007130477564,1.1399776277612793e-16,True
